,Ticker,Quandl_Code,Name,Industry,Exchange
0,BHP,EOD/BHP,BHP Group,Basic Material,NYSE
1,BBL,EOD/BBL,BHP Group,Basic Material,NYSE
2,LIN,EOD/LIN,Linde plc,Basic Material,NYSE
3,RIO,EOD/RIO,Rio Tinto Group,Basic Material,NYSE
4,VALE,EOD/VALE,Vale S.A.,Basic Material,NYSE
5,SHW,EOD/SHW,The Sherwin-Williams Company,Basic Material,NYSE
6,SCCO,EOD/SCCO,Southern Copper Corporation,Basic Material,NYSE
7,ECL,EOD/ECL,Ecolab Inc.,Basic Material,NYSE
8,APD,EOD/APD,"Air Products and Chemicals, Inc.",Basic Material,NYSE
9,FCX,EOD/FCX,Freeport-McMoRan Inc.,Basic Material,NYSE
10,NEM,EOD/NEM,Newmont Corporation,Basic Material,NYSE
11,DOW,EOD/DOW,Dow Inc.,Basic Material,NYSE
12,DD,EOD/DD,"DuPont de Nemours, Inc.",Basic Material,NYSE
13,GOLD,EOD/GOLD,Barrick Gold Corporation,Basic Material,NYSE
14,IFF,EOD/IFF,International Flavors & Fragrances Inc.,Basic Material,NYSE
15,CRH,EOD/CRH,CRH plc,Basic Material,NYSE
16,CTVA,EOD/CTVA,"Corteva, Inc.",Basic Material,NYSE
17,LYB,EOD/LYB,LyondellBasell Industries N.V.,Basic Material,NYSE
18,PPG,EOD/PPG,"PPG Industries, Inc.",Basic Material,NYSE
19,NTR,EOD/NTR,Nutrien Ltd.,Basic Material,NYSE
20,MT,EOD/MT,ArcelorMittal,Basic Material,NYSE
21,VMC,EOD/VMC,Vulcan Materials Company,Basic Material,NYSE
22,FNV,EOD/FNV,Franco-Nevada Corporation,Basic Material,NYSE
23,GOOG,EOD/GOOG,Alphabet Inc.,Communication Services,NASDAQ
24,GOOGL,EOD/GOOGL,Alphabet Inc.,Communication Services,NASDAQ
25,FB,EOD/FB,"Facebook, Inc.",Communication Services,NASDAQ
26,DIS,EOD/DIS,The Walt Disney Company,Communication Services,NYSE
27,NFLX,EOD/NFLX,"Netflix, Inc.",Communication Services,NASDAQ
28,CMCSA,EOD/CMCSA,Comcast Corporation,Communication Services,NASDAQ
29,VZ,EOD/VZ,Verizon Communications Inc.,Communication Services,NYSE
30,T,EOD/T,AT&T Inc.,Communication Services,NYSE
31,TMUS,EOD/TMUS,"T-Mobile US, Inc.",Communication Services,NYSE
32,SE,EOD/SE,Sea Limited,Communication Services,NYSE
33,ZM,EOD/ZM,"Zoom Video Communications, Inc.",Communication Services,NASDAQ
34,ABNB,EOD/ABNB,"Airbnb, Inc.",Communication Services,NASDAQ
35,CHTR,EOD/CHTR,"Charter Communications, Inc.",Communication Services,NASDAQ
36,BIDU,EOD/BIDU,"Baidu, Inc.",Communication Services,NASDAQ
37,SNAP,EOD/SNAP,Snap Inc.,Communication Services,NYSE
38,NTES,EOD/NTES,"NetEase, Inc.",Communication Services,NASDAQ
39,ATVI,EOD/ATVI,"Activision Blizzard, Inc.",Communication Services,NASDAQ
40,SPOT,EOD/SPOT,Spotify Technology S.A.,Communication Services,NYSE
41,TWLO,EOD/TWLO,Twilio Inc.,Communication Services,NYSE
42,DASH,EOD/DASH,"DoorDash, Inc.",Communication Services,NYSE
43,ROKU,EOD/ROKU,"Roku, Inc.",Communication Services,NASDAQ
44,TWTR,EOD/TWTR,"Twitter, Inc.",Communication Services,NYSE
45,PINS,EOD/PINS,"Pinterest, Inc.",Communication Services,NYSE
46,VOD,EOD/VOD,Vodafone Group Plc,Communication Services,NASDAQ
47,BILI,EOD/BILI,Bilibili Inc.,Communication Services,NASDAQ
48,AMZN,EOD/AMZN,"Amazon.com, Inc.",Consumer Cyclical,NASDAQ
49,TSLA,EOD/TSLA,"Tesla, Inc.",Consumer Cyclical,NASDAQ
50,BABA,EOD/BABA,Alibaba Group Holding Limited,Consumer Cyclical,NYSE
51,HD,EOD/HD,"The Home Depot, Inc.",Consumer Cyclical,NYSE
52,PDD,EOD/PDD,Pinduoduo Inc.,Consumer Cyclical,NASDAQ
